Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
huMAP	MEPCE	4/29	9.683273e-05	5.932643e-04	0	0	1.932390e+01	1.786017e+02	RPL7A;RPL23A;RPL8;RPS10
huMAP	SRPK1	4/29	9.683273e-05	5.932643e-04	0	0	1.932390e+01	1.786017e+02	RPL7A;NOP58;RPL21;RPL23A
huMAP	RPL23	6/88	9.854220e-05	5.932643e-04	0	0	8.920506e+00	8.229190e+01	RPL7A;NOP58;RPL21;RPL14;RPL23A;RPL10A
huMAP	NPM1	5/58	1.259862e-04	7.182982e-04	0	0	1.144751e+01	1.027910e+02	RPL21;RPL14;RPL23A;RPL10A;MTPAP
huMAP	EEF2	4/31	1.266153e-04	7.182982e-04	0	0	1.789070e+01	1.605575e+02	RPL21;RPL14;RPL23A;RPL10A
huMAP	BTF3	4/31	1.266153e-04	7.182982e-04	0	0	1.789070e+01	1.605575e+02	RPL21;RPL14;RPL23A;RPL10A
huMAP	RPL4	6/96	1.595147e-04	8.717143e-04	0	0	8.124280e+00	7.103362e+01	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL10A
huMAP	EIF1AX	4/33	1.625230e-04	8.717143e-04	0	0	1.665517e+01	1.453112e+02	RPL21;RPL23;RPL23A;RPL10A
huMAP	EEF1A1	4/33	1.625230e-04	8.717143e-04	0	0	1.665517e+01	1.453112e+02	RPL21;RPL14;RPL23A;RPL10A
huMAP	SLC25A5	4/34	1.829928e-04	9.639798e-04	0	0	1.609919e+01	1.385506e+02	RPL21;RPL14;RPL23A;RPL10A
huMAP	MRPL37	4/36	2.294129e-04	1.127947e-03	0	0	1.509146e+01	1.264663e+02	MRPL4;MRPL41;MRPL53;MRPL27
huMAP	MRPL46	4/36	2.294129e-04	1.127947e-03	0	0	1.509146e+01	1.264663e+02	MRPL4;MRPL41;MRPL53;MRPL27
huMAP	NGRN	4/36	2.294129e-04	1.127947e-03	0	0	1.509146e+01	1.264663e+02	MRPL4;MRPL41;MRPL27;MRPL23
huMAP	RPL35A	4/36	2.294129e-04	1.127947e-03	0	0	1.509146e+01	1.264663e+02	RPL21;RPL14;RPL23A;RPL10A
huMAP	HIST1H1B	3/16	3.008259e-04	1.454814e-03	0	0	2.771888e+01	2.247718e+02	RPL21;RPL23A;RPL10A
huMAP	MRPL16	4/39	3.141228e-04	1.494616e-03	0	0	1.379582e+01	1.112733e+02	MRPL4;MRPL41;MRPL53;MRPL27
huMAP	MRPL40	4/41	3.817429e-04	1.787526e-03	0	0	1.304878e+01	1.027039e+02	MRPL4;MRPL41;MRPL53;MRPL27
huMAP	MRPL39	4/42	4.191830e-04	1.932172e-03	0	0	1.270475e+01	9.880742e+01	MRPL4;MRPL41;MRPL53;MRPL27
huMAP	RPL24	5/77	4.778822e-04	2.168850e-03	0	0	8.418541e+00	6.436940e+01	RPL7A;RPL21;RPL14;RPL23A;RPL10A
huMAP	RPS19	5/80	5.698267e-04	2.546953e-03	0	0	8.080573e+00	6.036332e+01	RPL7A;RPL21;RPL14;RPL23A;RPL10A
huMAP	RPL12	4/46	5.954050e-04	2.591928e-03	0	0	1.149245e+01	8.534603e+01	RPL21;RPL14;RPL23A;RPL10A
huMAP	NACA2	3/20	5.974615e-04	2.591928e-03	0	0	2.119251e+01	1.573082e+02	RPL21;RPL23;RPL23A
huMAP	RPSA	4/47	6.465654e-04	2.764301e-03	0	0	1.122462e+01	8.243175e+01	RPL21;RPL14;RPL23A;RPL10A
huMAP	SRP14	3/22	7.972063e-04	3.359655e-03	0	0	1.895981e+01	1.352668e+02	RPL21;RPL14;RPL10A
huMAP	FSCN1	2/6	1.029054e-03	4.275647e-03	0	0	5.972289e+01	4.108407e+02	NECAP2;PPIA
huMAP	ATP5A1	3/25	1.168834e-03	4.788974e-03	0	0	1.637190e+01	1.105390e+02	RPL21;RPL14;RPL10A
huMAP	MAGOH	2/7	1.432727e-03	5.789788e-03	0	0	4.777590e+01	3.128450e+02	CASC3;LSM4
huMAP	RPS14	4/59	1.525941e-03	6.083141e-03	0	0	8.770288e+00	5.687658e+01	RPL21;RPL14;RPL23A;RPL10A
huMAP	EEF1G	3/28	1.634381e-03	6.428567e-03	0	0	1.440509e+01	9.243014e+01	RPL21;RPL23A;RPL10A
huMAP	NOP2	5/102	1.702992e-03	6.610297e-03	0	0	6.240908e+00	3.978809e+01	KRR1;HP1BP3;CCDC86;RRP12;SRRM1
huMAP	RPLP0	4/61	1.727096e-03	6.616798e-03	0	0	8.461703e+00	5.382755e+01	RPL21;RPL14;RPL23A;RPL10A
huMAP	PABPC1	3/30	2.000769e-03	7.567012e-03	0	0	1.333670e+01	8.287724e+01	RPL21;RPL14;RPL10A
huMAP	RPL35	4/64	2.062264e-03	7.700858e-03	0	0	8.037398e+00	4.970288e+01	RPL21;RPL14;RPL23A;RPL10A
huMAP	MRPL51	3/31	2.201572e-03	8.118298e-03	0	0	1.285974e+01	7.868339e+01	MRPL4;MRPL53;MRPL27
huMAP	ZBTB11	4/66	2.309129e-03	8.409790e-03	0	0	7.777341e+00	4.721534e+01	KRR1;HP1BP3;CCDC86;RRP12
huMAP	UTP23	3/32	2.414450e-03	8.686133e-03	0	0	1.241567e+01	7.482037e+01	KRR1;HP1BP3;RRP12
huMAP	DDX50	4/68	2.575624e-03	9.154327e-03	0	0	7.533537e+00	4.491241e+01	HP1BP3;CCDC86;RRP12;SRRM1
huMAP	MRPL20	3/34	2.877386e-03	1.010510e-02	0	0	1.161349e+01	6.794906e+01	MRPL4;MRPL53;MRPL27
huMAP	NDUFA12	2/10	3.019655e-03	1.047998e-02	0	0	2.985542e+01	1.732395e+02	NDUFB7;NDUFA2
huMAP	RPL7A	4/73	3.332685e-03	1.143188e-02	0	0	6.985861e+00	3.984719e+01	RPL21;RPL14;RPL23A;RPL10A
huMAP	MRPL17	3/36	3.391398e-03	1.149957e-02	0	0	1.090854e+01	6.203155e+01	MRPL4;MRPL53;MRPL27
huMAP	RPS13	5/121	3.579151e-03	1.189847e-02	0	0	5.213666e+00	2.936665e+01	NOP58;RPL21;RPL14;RPL23A;RPL10A
huMAP	MRPL18	3/37	3.668092e-03	1.189847e-02	0	0	1.058717e+01	5.937371e+01	MRPL4;MRPL41;MRPL27
huMAP	84311	3/37	3.668092e-03	1.189847e-02	0	0	1.058717e+01	5.937371e+01	MRPL4;MRPL41;MRPL27
huMAP	MYH7B	2/11	3.670377e-03	1.189847e-02	0	0	2.653681e+01	1.488041e+02	RPL23A;CKB
huMAP	AATF	3/38	3.958180e-03	1.255552e-02	0	0	1.028416e+01	5.689165e+01	KRR1;HP1BP3;RRP12
huMAP	RPS29	3/38	3.958180e-03	1.255552e-02	0	0	1.028416e+01	5.689165e+01	RPL7A;RPL23A;RPL10A
huMAP	GADD45GIP1	3/39	4.261852e-03	1.337496e-02	0	0	9.997980e+00	5.456949e+01	MRPL4;MRPL41;MRPL27
huMAP	SUPT16H	2/12	4.380227e-03	1.346007e-02	0	0	2.388193e+01	1.296945e+02	RPL21;RPL14
huMAP	MRPL43	2/12	4.380227e-03	1.346007e-02	0	0	2.388193e+01	1.296945e+02	MRPL4;MRPL53
huMAP	SSB	2/13	5.148179e-03	1.549707e-02	0	0	2.170975e+01	1.143911e+02	RPL23A;RPL10A
huMAP	MPG	2/13	5.148179e-03	1.549707e-02	0	0	2.170975e+01	1.143911e+02	RPL14;RPL23A
huMAP	STAU1	4/84	5.502700e-03	1.639693e-02	0	0	6.021951e+00	3.132930e+01	HP1BP3;CCDC86;RRP12;SRRM1
huMAP	MRPL23	3/43	5.615958e-03	1.656708e-02	0	0	8.996364e+00	4.662044e+01	MRPL4;MRPL41;MRPL27
huMAP	MRPL32	2/14	5.973218e-03	1.679676e-02	0	0	1.989960e+01	1.018953e+02	MRPL4;MRPL53
huMAP	MTHFD1	2/14	5.973218e-03	1.679676e-02	0	0	1.989960e+01	1.018953e+02	RPL21;RPL14
huMAP	HADHA	2/14	5.973218e-03	1.679676e-02	0	0	1.989960e+01	1.018953e+02	RPL14;RPL10A
huMAP	MRPL12	2/14	5.973218e-03	1.679676e-02	0	0	1.989960e+01	1.018953e+02	MRPL4;MRPL53
huMAP	RBM34	4/86	5.978509e-03	1.679676e-02	0	0	5.874479e+00	3.007489e+01	NOP58;RPL21;RPL23A;RPL10A
huMAP	SLC25A6	2/15	6.854342e-03	1.907576e-02	0	0	1.836793e+01	9.152508e+01	RPL21;RPL14
huMAP	MRPL9	2/16	7.790562e-03	2.127978e-02	0	0	1.705508e+01	8.279971e+01	MRPL4;MRPL53
huMAP	CANX	2/16	7.790562e-03	2.127978e-02	0	0	1.705508e+01	8.279971e+01	RPL14;RPL10A
huMAP	BCL7A	2/17	8.780902e-03	2.376483e-02	0	0	1.591727e+01	7.537107e+01	SMARCB1;ARID1A
huMAP	DDX54	3/51	9.025226e-03	2.420402e-02	0	0	7.493939e+00	3.527946e+01	HP1BP3;CCDC86;SRRM1
huMAP	MRPL13	2/18	9.824397e-03	2.587676e-02	0	0	1.492169e+01	6.898126e+01	MRPL4;MRPL53
huMAP	MRPL33	2/18	9.824397e-03	2.587676e-02	0	0	1.492169e+01	6.898126e+01	MRPL4;MRPL53
huMAP	MRPL10	2/19	1.092010e-02	2.825814e-02	0	0	1.404323e+01	6.343539e+01	MRPL4;MRPL53
huMAP	RPS27A	2/19	1.092010e-02	2.825814e-02	0	0	1.404323e+01	6.343539e+01	RPL21;RPL14
huMAP	RPL23A	3/56	1.165337e-02	2.989343e-02	0	0	6.785249e+00	3.020901e+01	RPL21;RPL14;RPL10A
